video_id,author,text,like_count,published_at,source_channel,video_title
te4V1vw2pRY,@DimasSaputra-xj1uo,"Pak kalo review hp produk Xiaomi yang kena limit fps padahal kebuka diatasnya itu hapus joyose ,cari di pencarian aplikasi di pengaturan ketik joyose terus hapus ,nah ga ada bakalan di limit fps nya",1,2026-01-31T03:57:40Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@nicholasps28,"MANTAP REDMI, makin upgradenya joss",1,2026-01-25T16:34:04Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@bagusfaisal-l4q,ini serius nanya bang tolong di jawab. rekomendet mana oppo a6 pro sama redmi not 15 5g ?,0,2026-02-05T21:20:39Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@ppkrist,"bahas yg 4G dong kak, color gamutnya pengen tau yg varian 4G termurahnya",1,2026-01-22T11:56:06Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@amogusus69,Kayaknya Arknights Enfield bisa dimasukin ke tes gaming lagi tahun ini nih. 🤭,0,2026-01-23T04:20:23Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@Ali_Topan33,Lumayan cakep,2,2026-01-22T09:20:03Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@Zenitsu-zyra,10:04 beliau lupa ada keluarga king yg harganya sama tapi bisa lancar main wuwa,0,2026-01-24T08:33:26Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@vegaqurrotaayun2920,Yang kmren viral kamera ngembun itu Xiaomi yang mana ya,0,2026-01-30T17:23:39Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@orang.toksik,Hape zaman sekarang udah pada bagus-bagus kualitas mic nya,0,2026-01-22T11:54:32Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@arisnugroho3532,nyimak pertama,2,2026-01-22T09:02:35Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@anjangpurnomo5394,"nyari yg esim, untung ada note 15 pro 5g 8gb",0,2026-01-22T14:43:36Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@memetcs5770,Jiterr y kgak nahan dari seri rednote 14 5g kgak ada perubahan di mslah jiternya,0,2026-01-22T11:47:34Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@bayumaulana872,Sedang menunggu review yang versi pro 5g,0,2026-01-22T14:37:01Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@reosusanto6435,kenapa sampai skrg AOD nya msh 10 detik...hmmm,0,2026-01-27T02:17:00Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@suryawijaya9816,Hadir redmi note 5 4 64 2018,0,2026-01-23T17:01:21Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@Zakihunter99,Bahas red magic 11 pro dong,0,2026-01-30T03:48:23Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@AmadaMaulana850,Sudah ada live foto belum bang??,0,2026-01-29T12:32:22Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@miriokun2296,Opsi terbaik selain infinix note edge 5G,1,2026-01-22T09:46:40Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@singobarong7819,mending mana kak sma redmi note 14 pro,1,2026-01-22T14:28:54Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@WargaDesa-y6o,"Sayang banget perekaman 4k nya ga di kasih stabil, kalau aku mending ada 1080 60fps, dri pada ada 4k tapi ga stabil..,,",0,2026-01-29T04:53:15Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@yamanigm9106,Bang jagat tolong review Oppo Reno 15 5G secepatnya ya,0,2026-01-22T11:53:14Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@davidtomianggara2844,redmi comeback,0,2026-01-23T10:18:40Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@RifaiFai-un3qm,Ini sama reno oppo 15 lebih mana untuk foto dan video,0,2026-01-26T07:11:18Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@ArifRahmanHakim-u8s,kapan review RENO 15 Reguler ommmmmmm😢😢😢,0,2026-01-27T03:58:05Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@awaludinfarhan8121,Bang perbedaan nya sama yng pro+ 5g apa si ?,0,2026-01-28T16:32:17Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@userneko6087,Yg versi pro 5G nya kapan bg,0,2026-01-22T18:39:01Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@dimas.gilang11,Nice ❤,0,2026-01-22T10:06:06Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@fiandamar7613,"seri paling nanggung sih yg ini, lebih baik nambah buat ambil seri Pro nya,",0,2026-01-22T11:43:47Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@BagusSolehudin-b2x,Mending ini atau infinix gt 30 bang,0,2026-02-06T17:39:32Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@OTWSERIBUBAGAS,sayang bnget manufacturing soc nya by samsung :(,0,2026-01-22T11:36:41Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@danyprakoso2495,Masih ya..ampe redmi note 15 series masih roasting iphone kalo soal charger😅😅,0,2026-01-22T11:59:09Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@bangujeeb,"saya pake note14 pro 5G ,sampe sekarang blm ada iklan",0,2026-01-22T10:29:07Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@Notbot.okay3080,"10:45 entah kenapa gua setiap liatin review hp suka lompat ke bagian ini 😂
Kalau bagus baru lah tonton full",1,2026-01-22T13:47:32Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@abdulazizalim21,"9:29 coba di hps data baterai dan performa nya om, Ama matikan nonaktifkan frame default apa gtu di opsi pengembang om biar ke unlock 90 fps di ml nya om",0,2026-01-27T00:51:56Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@yanditriputra1905,Welcome New Normal,0,2026-01-22T22:58:52Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@momenkangdedi,MASIH SETIA SAMA REDMI NOT 13 PRO 5G ❤ BGUS DESAIN CAMERA NYA,16,2026-01-22T10:27:18Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@kurniawanekasaputra6838,"Hmmn seri redmi sebaiknya fokusnya bukan di durabiliti sih hrusnya klo mau fokus durabiliti buat aja kagi seri bru kek, dri pda nambah ketahanan lbih baik nambahin kapasitas batre hdeuh apake vidio stabil semua resolusi ke apa ke hdeh mlah durabiliti yang gak semua orng perlu",0,2026-01-22T13:31:48Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@mohamadindra2304,kalo di komper sama poco x7 pro taon kmaren gmn bang,0,2026-01-22T10:01:42Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@iqbaltabah5591,Coba dibandingkan dengan Iqoo Z10 R bang,77,2026-01-22T09:02:49Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@rioardana3991,Ditunggu reviewnya red magic 11 pro sma infinix note edge👍,0,2026-01-22T11:50:09Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
